Unique_ID,Last Updated,Member,Party,Home State,District,Meeting Type,Date,Time,Time Zone,Location,Street Address,City,State,Zip,Notes
522,"02/17/17, 02:06:35",Gary Palmer,Republican,Alabama,AL-06,Town Hall,"Sat, February 25, 2017",9:00 AM,CST,Hoover Tactical Firearms,1561 Montgomery Highway,Birmingham,AL,35216,
523,"02/17/17, 02:06:40",Jeff Flake,Republican,Arizona,Senate,Ticketed Event,"Mon, February 20, 2017",12:00 PM,MST,Eastern Arizona College,615 N Stadium Ave,Thatcher,AZ,85552,Fundraiser.
524,"02/17/17, 02:06:43",Paul Gosar,Republican,Arizona,AZ-4,Town Hall,"Thu, February 23, 2017",6:00 PM,MST,Best Western Hotel,8333 E Sunrise Sky Dr,Gold Canyon,AZ,85118,
525,"02/17/17, 02:06:45",Martha McSally,Republican,Arizona,AZ-2,Town Hall,"Thu, February 23, 2017",5:30 PM - 7:30 PM,MST,St Francis in the Foothills United Methodist Church,4625 E River Rd,Catalina Foothills,AZ,85718,"Rep. McSally not confirmed, only invited. Attendees must register: https://www.eventbrite.com/e/arizona-cd-2-town-hall-tickets-31850266003?aff=efbnreg"
526,"02/17/17, 02:06:44",Paul Gosar,Republican,Arizona,AZ-04,Ticketed Event,"Saturday, March 11, 2017",6:00 PM,MST,Mazatzal Casino,"Highway 87, Mile Marker 251",Payson,AZ,85541,
527,"02/17/17, 02:06:48",Steve Womack,Republican,Arkansas,AR-03,Coffee,"Tue, February 21, 2017",8:30 AM - 9:30 AM,CST,,262 Main St,West Fork,AR,72774,Coffee with Congressman Womack
528,"02/17/17, 02:06:49",Tom Cotton,Republican,Arkansas,Senate,Town Hall,"Wed, February 22, 2017",5:00 PM - 6:30 PM,CST,Jones Center,922 East Emma Ave,Springdale,AR,72764,https://www.facebook.com/SenatorTomCotton/
529,"02/17/17, 02:06:53",Karen Bass,Democratic,California,CA-37,Other,"Sat, February 18, 2017",10:00 AM - 12:00 PM,PST,Holman United Methodist Church,3320 W. Adams Blvd.,Los Angeles,CA,90018,Organizing Meeting
530,"02/17/17, 02:06:57",Salud Carbajal,Democratic,California,CA-24,President's Day March,"Sat, February 18, 2017",11:00 AM,PST,De La Guerra Plaza,15 E. De La Guerra St.,Santa Barbara,CA,93101,Hosted by United We Stand. A march with a speaking program.
531,"02/17/17, 02:06:58",Mark DeSaulnier,Democratic,California,CA-11,Town Hall,"Sat, February 18, 2017",10:30 AM,PST,,651 Pine St,Martinez,CA,94553,ACA Town Hall with Rep. Thompson and Rep. DeSaulnier. https://www.facebook.com/events/1238408296255416/
532,"02/17/17, 02:06:59",Mike Thompson,Democratic,California,CA-05,Town Hall,"Sat, February 18, 2017",2:00 PM,PST,Contra Costa County Board of Supervisors Chambers,651 Pine St,Martinez,CA,94553,https://mikethompson.house.gov/about/events
533,"02/17/17, 02:07:00",Mike Thompson,Democratic,California,CA-05,Town Hall,"Sat, February 18, 2017",10:30 AM - 12:00 PM,PST,,651 Pine St,Martinez,CA,94553-1213,ACA Town Hall with Rep. Thompson and Rep. DeSaulnier. https://www.facebook.com/events/1238408296255416/
534,"02/17/17, 02:06:53",Judy Chu,Democratic,California,"CA-27
",Town Hall,"Sat, February 18, 2017",1:00 PM - 2:00 PM,PST,Monterey Park City Hall,320 West Newmark Ave,Monterey Park,CA,91754,"ACA Town Hall with Rep. Roybal-Allard and Rep. Chu
"
535,"02/17/17, 02:05:05",Lucille Roybal-Allard,Democratic,California,CA-40,Town Hall,"Sat, February 18, 2017",1:00 PM - 2:00 PM,PST,Monterey Park City Hall,320 West Newmark Ave,Monterey Park,CA,91754,"ACA Town Hall with Rep. Roybal-Allard and Rep. Chu
"
536,"02/17/17, 02:09:49",Barbara Lee,Democratic,California,CA-13,Town Hall,"Sat, February 18, 2017",10:00 AM - 11:30 AM,PST,International Community School,2825 International Blvd,Oakland,CA,94601,https://www.facebook.com/events/217951298677153/
537,"02/17/17, 02:09:12",Karen Bass,Democratic,California,CA-37,Other,"Sun, February 19, 2017",10:00 AM - 12:00 PM,PST,IMAN Cultural Center,3376 Motor Ave.,Los Angeles,CA,90034,Organizing Meeting
538,"02/17/17, 02:09:18",Ami Bera,Democratic,California,CA-7,Office Hours,"Tue, February 21, 2017",10:00 AM,PST,SPL- Arden Dimick Branch,891 Watt Ave.,Sacremento,CA,95864,Staff. Rep. Bera not in attendance
539,"02/17/17, 02:09:19",Darrell Issa,Republican,California,CA-49,Empty Chair Town Hall,"Tue, February 21, 2017",6:00 PM - 8:00 PM,PST,Jim Porter Recreation Center,1200 Vale Terrace Dr,Vista,CA,92084,Empty chair town hall. Rep. Issa invited and constituents expect his presence. https://www.facebook.com/events/150691435436534/
540,"02/17/17, 02:09:28",Tony C��rdenas,Democratic,California,CA-29,Town Hall,"Tue, February 21, 2017",6:30 PM - 8:00 PM,PST,Cesar E Chavez Learning Academies-Social Justice,1001 Arroyo St,San Fernando,CA,91340,RSVP: https://www.facebook.com/events/250884468699971/
541,"02/17/17, 02:09:33",Mike Thompson,Democratic,California,CA-05,Town Hall,"Tue, February 21, 2017",7:00 PM,PST,"Napa Valley College, Little Theater, Building 1200",2277 Napa Vallejo Hwy,Napa,CA,94558,https://mikethompson.house.gov/about/events
542,"02/17/17, 02:09:43",Kevin McCarthy,Republican,California,CA-23,Ticketed event,"Tue, February 21, 2017",6:00 PM - 7:00 PM,PST,DoubleTree Hotel,3100 Camino DelRio Ct,Bakersfield,CA,,Kern County GOP Lincoln Day Dinner
543,"02/17/17, 02:09:39",Devin Nunes,Republican,California,CA-22,Ticketed event,"Tue, February 21, 2017",6:00 PM - 7:00 PM,PST,DoubleTree Hotel,3100 Camino DelRio Ct,Bakersfield,CA,,Kern County GOP Lincoln Day Dinner
544,"02/17/17, 02:09:52","Tom McClintock
",Republican,California,CA-04,Town Hall,"Tue, February 21, 2017",6:00 PM,PST,Fairgrounds Bldg A,5007 Fairgrounds Rd,Mariposa,CA,,
545,"02/17/17, 02:09:55",Ro Khanna,Democratic,California,CA-17,Town Hall,"Wed, February 22, 2017",7:30 PM,PST,Ohlone College,43600 Mission Blvd,Fremont,CA,94539,https://twitter.com/RepRoKhanna/status/829028535725617152
546,"02/17/17, 02:10:07",Mark DeSaulnier,Democratic,California,CA-11,Town Hall,"Wed, February 22, 2017",6:30 PM - 8:00 PM,PST,,935 Detroit Ave,Concord,CA,945518,https://www.facebook.com/events/1379045075470898/
547,"02/17/17, 02:10:10","Tom McClintock
",Republican,California,CA-04,Town Hall,"Wed, February 22, 2017",6:00 PM,PST,Sonora High School Auditorium,430 N Washington St,Sonora,CA,,
547,"02/17/17, 02:09:56",Mark DeSaulnier,Democratic,California,CA-11,Town Hall,"Thu, February 23, 2017",6:30 PM - 8:00 PM,PST,Diablo Valley College,321 Golf Club Rd,Pleasant Hill,CA,94523,Parking available in Lot 8.
549,"02/17/17, 02:09:58",Brad Sherman,Democratic,California,CA-30,Open House,"Fri, February 24, 2017",3:30 PM,PST,District Office,"6150 Van Nuys Blvd, Suite 306",Van Nuys,CA,,"Join State Rep. Matthew Dababneh and Congressman Sherman for an Open House to discuss issues affecting our community and state, or share your ideas for possible legislation. "
500,"02/17/17, 02:10:15",Adam Schiff,Democratic,California,CA-28,Town Hall,"Fri, February 24, 2017",7:00 PM,PST,Glendale Community College,1500 N Verdugo rd,Glendale,CA,91208,"Conversation with Rep. Schiff about the crisis in the refugee program. Representatives from the International Rescue Committee (IRC), Muslim Public Affairs Council (MPAC), Hebrew Immigrant Aid Society (HIAS), and ACLU will join Rep. Schiff on a discussion panel."
501,"02/17/17, 02:10:03",Mike Thompson,Democratic,California,CA-05,Town Hall,"Sat, February 25, 2017",9:00 AM,PST,Piner High School,1700 Fulton Rd,Santa Rosa,CA,95403,https://mikethompson.house.gov/about/events
